ligand,name,label
18-MC,Zolunicant,blocker
AT-1001,AT-1001,antagonist
SR-16584,SR-16584,antagonist
Cytisine,Cytisine,agonist
Epibatidine,Epibatidine,agonist
Nicotine,Nicotine,agonist
LIT-0062102,TC-2559,agonist
LIT-0062103-R,Zolunicant,blocker
LIT-0062103-S,Zolunicant,blocker
LIT-0062104,PHA-543613,antagonist
LIT-0062105,Carbachol,agonist
LIT-0062107-R,(R)-DHBE,antagonist
LIT-0062107-S,(S)-DHBE,antagonist
LIT-0062109,Varenicline,agonist
ABT-594,ABT-594,agonist
NS-3861,NS-3861,agonist
DMPP,DMPP,agonist
