Compound,Comment,Agonist EC50 (μM),Agonist Error +/- SEM,Agonist Emax (%),Agonist repeats (n),Antagonist IC50 (μM),Antagonist Error +/- SEM,Antagonist repeats (n)
1a,ML-SA1,4.0,1.1,75,8,>30,-,7
1b,ML-SA1,>30,-,-,4,>30,-,3
2,ML-SA5,0.27,0.014,100,6,>30,-,4
3,C8,0.41,0.34,72,5,>30,-,3
4a,,0.23,0.26,82,2,>30,-,4
4b,,>30,-,-,3,>30,-,3
5,,0.42,0.032,84,3,>30,-,3
6,,2.8,0.93,64,3,>30,-,2
7,,0.092,0.022,98,3,>30,-,3
8,ML-SI1,>30,-,-,2,4.4,3.5,3
9a,ML-SI3,>30,-,-,4,2.4,1.5,4
9b,ML-SI3,>30,-,-,2,>30,-,3
10,,>30,-,-,3,1.1,0.17,4
11,EDME,>30,-,-,3,11,2.1,3
12,PRU-9,>30,-,-,3,12,2.2,3
13,PRU-12,>30,-,-,3,11,2.5,3
