ligand,ligand_name,pred_dg,pred_dg_error
18-MC,18-MC,19.31,0.31
SR-16584,SR-16584,-11.48,0.10
AT-1001,AT-1001,-18.74,0.08
Cytisine,Cytisine,-11.22,0.07
Nicotine,Nicotine,-11.84,0.07
Epibatidine,Epibatidine,-16.21,0.08
LIT-0062104_Glide-6PV8-3,LIT-0062104,-7.35,0.09
LIT-0062102_Glide-6PV8-3,LIT-0062102,-9.17,0.12
LIT-0062104_Glide-6PV8-1,LIT-0062104,-6.05,0.14
LIT-0062102_Glide-6PV8-2,LIT-0062102,-11.80,0.11
LIT-0062104_Glide-6PV8-2,LIT-0062104,-5.61,0.08
LIT-0062102_Glide-6PV8-1,LIT-0062102,-9.52,0.11
LIT-0062109_Glide-6PV8-1,LIT-0062109,-13.66,0.07
LIT-0062105_Glide-6PV8-3,LIT-0062105,-10.42,0.08
LIT-0062107-R_Glide-6PV8-1,LIT-0062107-R,-0.29,0.10
LIT-0062105_Glide-6PV8-2,LIT-0062105,-11.04,0.07
LIT-0062109_Glide-6PV8-2,LIT-0062109,-14.58,0.09
LIT-0062105_Glide-6PV8-1,LIT-0062105,-10.45,0.08
LIT-0062107-S_aligned,LIT-0062107-S,0.34,0.11
ABT-594_Glide-6PV7-3,ABT-594,-14.59,0.09
ABT-594_Glide-6PV7-4,ABT-594,-13.78,0.07
ABT-594_Glide-6PV7-1,ABT-594,-12.75,0.09
ABT-594_Glide-6PV7-2,ABT-594,-13.01,0.10
DMPP,DMPP,-10.97,0.08
NS-3861_Glide-6PV7-1,NS-3861,-16.08,0.08
NS-3861_Glide-6PV7-2,NS-3861,-14.48,0.11
