ligand,ligand_name,pred_dg,pred_dg_error
SR-16584,SR-16584,-14.46,0.10
Nicotine,Nicotine,-10.76,0.09
18-MC,18-MC,8.10,0.09
Epibatidine,Epibatidine,-14.86,0.08
Cytisine,Cytisine,-9.58,0.08
AT-1001,AT-1001,-19.63,0.11
LIT-0062104_Glide-6PV8-2,LIT-0062104,-7.51,0.09
LIT-0062102_Glide-6PV8-1,LIT-0062102,-7.52,0.10
LIT-0062102_Glide-6PV8-3,LIT-0062102,-9.36,0.10
LIT-0062104_Glide-6PV8-1,LIT-0062104,-7.40,0.15
LIT-0062102_Glide-6PV8-2,LIT-0062102,-10.03,0.11
LIT-0062104_Glide-6PV8-3,LIT-0062104,-7.45,0.11
LIT-0062109_Glide-6PV8-1,LIT-0062109,-12.55,0.11
LIT-0062105_Glide-6PV8-3,LIT-0062105,-8.84,0.08
LIT-0062107-R_Glide-6PV8-1,LIT-0062107-R,-5.88,0.07
LIT-0062105_Glide-6PV8-1,LIT-0062105,-9.68,0.07
LIT-0062109_Glide-6PV8-2,LIT-0062109,-12.72,0.09
LIT-0062105_Glide-6PV8-2,LIT-0062105,-10.71,0.07
ABT-594_Glide-6PV7-2,ABT-594,-12.56,0.08
ABT-594_Glide-6PV7-4,ABT-594,-13.49,0.10
LIT-0062107-S_aligned,LIT-0062107-S,-5.94,0.09
ABT-594_Glide-6PV7-1,ABT-594,-11.54,0.08
ABT-594_Glide-6PV7-3,ABT-594,-13.36,0.10
DMPP,DMPP,-10.31,0.11
NS-3861_Glide-6PV7-1,NS-3861,-15.58,0.08
NS-3861-Glide-6PV7-2,NS-3861-Glide-6PV7-2,-13.99,0.12
