ligand,ligand_name,pred_dg,pred_dg_error
(R)-GABOB,(R)-GABOB,-8.39,0.11
(S)-GABOB,(S)-GABOB,-8.78,0.13
TPMPA,TPMPA,2.52,0.13
GABA,GABA,-12.19,0.13
CGP36742,CGP36742,9.45,0.14
THIP,THIP,-6.96,0.12
5-Me-IAA,5-Me-IAA,-5.65,0.16
(+)-CAMP,(+)-CAMP,-9.44,0.11
CACA,CACA,-10.57,0.12
aza-THIP,aza-THIP,2.95,0.09
isoguvacine,isoguvacine,-2.38,0.10
cis-3-ACPBPA,cis-3-ACPBPA,23.55,0.15
isonipecotic acid,isonipecotic acid,-5.26,0.11
muscimol,muscimol,-12.91,0.10
trans-3-ACPBPA,trans-3-ACPBPA,12.07,0.15
piperidine-4-sulphonic acid,piperidine-4-sulphonic acid,-4.95,0.14
aza-THIP_pose1,aza-THIP,2.95,0.09
aza-THIP_pose2,aza-THIP,3.12,0.12
aza-THIP_pose3,aza-THIP,1.64,0.11
