ligand,ligand_name,pred_dg,pred_dg_error
ZK,ZK,87.61,0.68
glutamic acid,glutamic acid,-11.18,0.16
quisqualic acid,quisqualic acid,-16.25,0.18
CNQX_Var1,CNQX,17.74,0.21
S-5-fluorowillardiine_Var4,S-5-fluorowillardiine,59.22,0.35
4-BCCA_Var1,4-BCCA,19.94,0.22
CNQX_Var2,CNQX,13.66,0.23
AMPA_Var5,AMPA,-2.51,0.23
AMPA_Var8,AMPA,-6.37,0.18
AMPA_Var7,AMPA,0.24,0.14
CNQX_Var7,CNQX,25.68,0.21
CNQX_Var6,CNQX,18.94,0.20
AMPA_Var10,AMPA,15.89,0.27
CNQX_Var3,CNQX,23.85,0.19
AMPA_Var9,AMPA,7.92,0.23
AMPA_Var12,AMPA,-1.07,0.19
4-BCCA_Var2,4-BCCA,28.11,0.19
AMPA_Var11,AMPA,2.87,0.27
S-5-fluorowillardiine_Var3,S-5-fluorowillardiine,27.59,0.21
CNQX_Var4,CNQX,23.61,0.16
S-5-fluorowillardiine_Var1,S-5-fluorowillardiine,-10.79,0.20
CNQX_Var5,CNQX,26.51,0.25
AMPA_Var1,AMPA,-4.95,0.22
AMPA_Var2,AMPA,-9.83,0.22
AMPA_Var3,AMPA,24.71,0.22
S-5-fluorowillardiine_Var5,S-5-fluorowillardiine,10.82,0.25
AMPA_Var4,AMPA,25.51,0.26
AMPA_Var6,AMPA,-8.00,0.22
S-5-fluorowillardiine_Var2,S-5-fluorowillardiine,-7.63,0.17
