ligand,ligand_name,pred_dg,pred_dg_error
ZK,ZK,-2.44,0.14
glutamic acid,glutamic acid,-5.44,0.10
quisqualic acid,quisqualic acid,-6.58,0.11
S-5-fluorowillardiine_Var4,S-5-fluorowillardiine,5.21,0.19
4-BCCA_Var1,4-BCCA,-1.10,0.09
AMPA_Var8,AMPA,-4.42,0.10
tezampanel_Var2,tezampanel,-5.70,0.11
ATPO_Var4,ATPO,-6.02,0.15
talampanel_Var2,talampanel,,
AMPA_Var2,AMPA,-3.89,0.10
S-5-fluorowillardiine_Var5,S-5-fluorowillardiine,0.78,0.09
ATPO_Var2,ATPO,1.30,0.23
NBQX_Var4,NBQX,2.12,0.14
talampanel_Var1,talampanel,,
GYKI-53655_Var2,GYKI-53655,7.24,0.19
AMPA_Var9,AMPA,-3.99,0.12
NBQX_Var1,NBQX,-3.08,0.13
AMPA_Var4,AMPA,1.94,0.22
GYKI-53784_Var1,GYKI-53784,,
AMPA_Var10,AMPA,-6.07,0.12
GYKI-53655_Var1,GYKI-53655,3.03,0.20
AMPA_Var3,AMPA,-1.56,0.13
AMPA_Var1,AMPA,-6.14,0.11
NBQX_Var2,NBQX,-4.82,0.12
S-5-fluorowillardiine_Var2,S-5-fluorowillardiine,-3.43,0.08
AMPA_Var7,AMPA,-3.28,0.08
CNQX_Var6,CNQX,,
ATPO_Var5,ATPO,1.03,0.18
NBQX_Var3,NBQX,-1.80,0.13
NBQX_Var5,NBQX,9.48,0.16
AMPA_Var5,AMPA,-2.15,0.12
AMPA_Var11,AMPA,1.32,0.13
CNQX_Var7,CNQX,-0.17,0.16
AMPA_Var6,AMPA,-4.09,0.08
AMPA_Var12,AMPA,-1.47,0.09
S-5-fluorowillardiine_Var1,S-5-fluorowillardiine,-7.76,0.13
CNQX_Var1,CNQX,-4.24,0.10
ATPO_Var1,ATPO,2.18,0.19
CNQX_Var2,CNQX,-3.90,0.09
CNQX_Var3,CNQX,-4.80,0.09
S-5-fluorowillardiine_Var3,S-5-fluorowillardiine,2.96,0.20
CNQX_Var5,CNQX,-6.26,0.08
4-BCCA_Var2,4-BCCA,1.87,0.10
ATPO_Var6,ATPO,-3.66,0.15
CNQX_Var4,CNQX,-4.63,0.09
ATPO_Var3,ATPO,-1.41,0.12
tezampanel_Var1,tezampanel,-6.94,0.12
