ligand,ligand_name,pred_dg,pred_dg_error
ZK,ZK,-6.89,0.15
glutamic acid,glutamic acid,-4.74,0.10
quisqualic acid,quisqualic acid,-6.09,0.12
CNQX_Var4,CNQX,-5.82,0.09
ATPO_Var1,ATPO,,
4-BCCA_Var2,4-BCCA,-1.13,0.10
CNQX_Var3,CNQX,-6.27,0.08
S-5-fluorowillardiine_Var1,S-5-fluorowillardiine,-7.08,0.12
CNQX_Var1,CNQX,-5.95,0.11
ATPO_Var6,ATPO,-0.48,0.14
CNQX_Var2,CNQX,-6.68,0.10
CNQX_Var5,CNQX,-5.91,0.09
S-5-fluorowillardiine_Var3,S-5-fluorowillardiine,2.13,0.16
tezampanel_Var1,tezampanel,-5.35,0.12
4-BCCA_Var1,4-BCCA,-2.18,0.09
tezampanel_Var2,tezampanel,-6.31,0.10
talampanel_Var2,talampanel,,
S-5-fluorowillardiine_Var4,S-5-fluorowillardiine,-1.50,0.15
talampanel_Var1,talampanel,,
ATPO_Var4,ATPO,-3.71,0.20
ATPO_Var2,ATPO,1.33,0.19
AMPA_Var2,AMPA,-3.47,0.11
ATPO_Var3,ATPO,-2.78,0.13
AMPA_Var8,AMPA,-5.47,0.09
S-5-fluorowillardiine_Var5,S-5-fluorowillardiine,-0.65,0.11
GYKI-53655_Var1,GYKI-53655,0.92,0.20
AMPA_Var3,AMPA,-3.77,0.11
AMPA_Var4,AMPA,-1.01,0.14
GYKI-53784_Var1,GYKI-53784,,
AMPA_Var10,AMPA,-4.40,0.14
AMPA_Var1,AMPA,-6.19,0.11
GYKI-53655_Var2,GYKI-53655,-0.16,0.23
NBQX_Var4,NBQX,,
S-5-fluorowillardiine_Var2,S-5-fluorowillardiine,-2.60,0.09
AMPA_Var9,AMPA,-4.72,0.13
NBQX_Var1,NBQX,-6.38,0.10
NBQX_Var5,NBQX,-0.62,0.16
AMPA_Var11,AMPA,,
ATPO_Var5,ATPO,-2.27,0.15
AMPA_Var7,AMPA,-6.30,0.09
AMPA_Var5,AMPA,-3.25,0.13
NBQX_Var3,NBQX,-4.79,0.10
AMPA_Var12,AMPA,-2.94,0.12
CNQX_Var6,CNQX,,
CNQX_Var7,CNQX,-1.23,0.16
NBQX_Var2,NBQX,-7.44,0.10
AMPA_Var6,AMPA,-5.15,0.09
