ligand,ligand_name,pred_dg,pred_dg_error
Serotonin_OL,Serotonin,-7.99,0.13
Serotonin_PA,Serotonin,-7.84,0.11
ALB125710_Inner-O,ALB125710,-13.57,0.07
ALB125710_Outer-O,ALB125710,-9.39,0.15
ALB127594_Inner-O,ALB127594,-12.39,0.07
ALB127594_Outer-O,ALB127594,-7.91,0.13
ALB133254_Outer-O,ALB133254,-5.51,0.09
ALB133254_Inner-O,ALB133254,-12.63,0.07
ALB133255_Outer-O,ALB133255,-3.36,0.14
ALB133255_Inner-O,ALB133255,-11.42,0.07
ALB133258_Outer-O,ALB133258,-10.35,0.13
ALB133258_Inner-O,ALB133258,-14.58,0.07
ALB137637_HN3_Outer-O,ALB137637,-7.36,0.12
ALB137637_HN3_Inner-O,ALB137637,-10.44,0.07
ALB137637_HN4_Outer-O,ALB137637,-1.16,0.22
ALB137637_HN4_Inner-O,ALB137637,-10.47,0.08
ALB148471_HN3_Inner-O,ALB148471,-8.89,0.09
ALB148471_HN3_Outer-O,ALB148471,-7.67,0.10
ALB148471_HN4_Outer-O,ALB148471,-1.64,0.11
ALB148471_HN4_Inner-O,ALB148471,-8.20,0.08
Palonosetron_Inner-O,Palonosetron,-15.38,0.08
Palonosetron_Outer-O,Palonosetron,-5.13,0.07
SMP100_HN3_Outer-O,SMP100,-8.41,0.10
SMP100_HN3_Inner-O,SMP100,-10.75,0.07
SMP100_HN4_Outer-O,SMP100,-3.81,0.09
SMP100_HN4_Inner-O,SMP100,-11.13,0.08
