ligand,ligand_name,pred_dg,pred_dg_error
Serotonin_OL,Serotonin,-12.34,0.09
Serotonin_PA,Serotonin,-11.48,0.08
ALB125710_Outer-O,ALB125710,-9.27,0.09
ALB125710_Inner-O,ALB125710,-13.75,0.11
ALB127594_Inner-O,ALB127594,-12.41,0.10
ALB127594_Outer-O,ALB127594,-6.68,0.10
ALB133254_Inner-O,ALB133254,-12.89,0.10
ALB133254_Outer-O,ALB133254,-4.35,0.11
ALB133255_Outer-O,ALB133255,-3.98,0.10
ALB133255_Inner-O,ALB133255,-10.32,0.10
ALB133258_Inner-O,ALB133258,-14.75,0.10
ALB133258_Outer-O,ALB133258,-9.88,0.10
ALB137637_HN3_Outer-O,ALB137637,-8.12,0.12
ALB137637_HN3_Inner-O,ALB137637,-8.81,0.11
ALB137637_HN4_Outer-O,ALB137637,-4.57,0.25
ALB137637_HN4_Inner-O,ALB137637,-9.80,0.10
ALB148471_HN3_Outer-O,ALB148471,-9.73,0.10
ALB148471_HN3_Inner-O,ALB148471,-10.51,0.20
ALB148471_HN4_Outer-O,ALB148471,-1.10,0.11
ALB148471_HN4_Inner-O,ALB148471,-13.39,0.21
Palonosetron_Outer-O,Palonosetron,-5.28,0.09
Palonosetron_Inner-O,Palonosetron,-13.28,0.10
SMP100_HN3_Inner-O,SMP100,-9.95,0.09
SMP100_HN3_Outer-O,SMP100,-10.87,0.15
SMP100_HN4_Outer-O,SMP100,-4.89,0.11
SMP100_HN4_Inner-O,SMP100,-12.40,0.12
