ligand,ligand_name,pred_dg,pred_dg_error
compound-1a (R)-ML-SA1,compound-1a,-10.38,0.13
compound-1b (S)-ML-SA1,compound-1b,-7.84,0.14
compound-2 ML-SA5,compound-2,-16.19,0.22
compound-3 C8,compound-3,-17.24,0.20
compound-4a,compound-4a,-21.81,0.14
compound-4b aligned to 4a,compound-4b,-12.79,0.14
compound-5,compound-5,-15.00,0.18
compound-6 constructed from compound-2,compound-6,-12.44,0.14
compound-7 constructed from compound-2,compound-7,-18.15,0.14
compound-8 ML-SI1,compound-8,-11.07,0.13
compound-9a ML-SI3,compound-9a,-12.19,0.13
compound-9b aligned to 9a,compound-9b,-10.97,0.21
compound-9b (+)ML-SI3 from PDB 9EKU,compound-9b,unstable in binding site,
compound-10,compound-10,-16.08,0.17
compound-11 EDME,compound-11,-10.73,0.10
compound-12 PRU-9 constructed from compound-11,compound-12,-7.47,0.14
compound-13 PRU-12,compound-13,-7.78,0.17
