ligand,ligand_name,pred_dg,pred_dg_error
compound-1a (R)-ML-SA1,compound-1a,unstable in binding site,
compound-1b (S)-ML-SA1,compound-1b,unstable in binding site,
compound-2 ML-SA5,compound-2,-11.53,0.12
compound-3 C8,compound-3,-12.59,0.16
compound-4a,compound-4a,-16.99,0.16
compound-4b aligned to 4a,compound-4b,unstable in binding site,
compound-5,compound-5,-9.89,0.14
compound-6 constructed from compound-2,compound-6,-9.51,0.13
compound-7 constructed from compound-2,compound-7,unstable in binding site,
compound-8 ML-SI1,compound-8,-14.86,0.10
compound-9a ML-SI3,compound-9a,-14.94,0.10
compound-9b aligned to 9a,compound-9b,-11.33,0.17
compound-9b (+)ML-SI3 from PDB 9EKU,compound-9b,-9.57,0.13
compound-10,compound-10,-16.52,0.10
compound-11 EDME,compound-11,-10.81,0.10
compound-12 PRU-9 constructed from compound-11,compound-12,-12.10,0.12
compound-13 PRU-12,compound-13,-9.54,0.09
