ligand,ligand_name,pred_dg,pred_dg_error
compound-1a (R)-ML-SA1,compound-1a,-6.48,0.11
compound-1b (S)-ML-SA1,compound-1b,-6.92,0.11
compound-2 ML-SA5,compound-2,unstable in binding site,
compound-3 C8,compound-3,-13.01,0.11
compound-4a,compound-4a,-14.08,0.11
compound-4b aligned to 4a,compound-4b,-14.70,0.11
compound-5,compound-5,-9.08,0.11
compound-6 constructed from compound-2,compound-6,unstable in binding site,
compound-7 constructed from compound-2,compound-7,-10.53,0.09
compound-8 ML-SI1,compound-8,-15.85,0.09
compound-9a ML-SI3,compound-9a,-16.04,0.09
compound-9b aligned to 9a,compound-9b,-10.27,0.15
compound-9b (+)ML-SI3 from PDB 9EKU,compound-9b,-9.33,0.12
compound-10,compound-10,-15.89,0.10
compound-11 EDME,compound-11,-10.97,0.11
compound-12 PRU-9 constructed from compound-11,compound-12,-12.80,0.10
compound-13 PRU-12,compound-13,-11.32,0.12
